countrycode,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
TG,1_analytic_mean,9804459,5759,5759,1,1,2330687.75,0.0,10372175.0
TG,1_analytic_mean,10123023,8242,8242,1,1,2330687.75,0.0,10372175.0
TG,1_analytic_mean,9376376,2405,2405,1,1,2330687.75,0.0,10372175.0
TG,1_analytic_mean,10144982,8418,8418,1,1,2330687.75,0.0,10372175.0
TG,1_analytic_mean,9217397,1152,1152,1,1,2330687.5,0.0,14032943.0
TG,1_analytic_mean,10004870,7318,7318,1,1,2324586.0,0.0,15253199.0
TG,1_analytic_mean,9252933,1432,1432,1,1,2318485.25,0.0,10982303.0
TG,1_analytic_mean,9218103,1158,1158,1,1,2318485.25,0.0,10982303.0
TG,1_analytic_mean,9219986,1173,1173,1,1,2318485.25,0.0,10982303.0
TG,1_analytic_mean,9399300,2584,2584,1,1,2306283.0,0.0,10372175.0
TG,1_analytic_mean,9181252,869,869,1,1,2300182.0,0.0,10982303.0
TG,1_analytic_mean,9676635,4757,4757,1,1,2300182.0,0.0,10982303.0
TG,1_analytic_mean,9263759,1516,1516,1,1,2300181.5,0.0,6101279.0
TG,1_analytic_mean,9520232,3523,3523,1,1,2294080.75,0.0,10982303.0
TG,1_analytic_mean,9468200,3119,3119,1,1,2294080.5,0.0,13422815.0
TG,1_analytic_mean,9504670,3402,3402,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9534587,3638,3638,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9912186,6604,6604,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9990895,7210,7210,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,10032915,7537,7537,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9181553,871,871,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9319950,1959,1959,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9769092,5485,5485,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9799363,5720,5720,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9841109,6044,6044,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9710159,5019,5019,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9561114,3843,3843,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9831964,5972,5972,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9987337,7183,7183,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9310996,1887,1887,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,9593194,4097,4097,1,1,2294080.5,0.0,11592431.0
TG,1_analytic_mean,10317913,9775,9775,1,1,2294080.0,0.0,10372175.0
TG,1_analytic_mean,9660373,4629,4629,1,1,2294079.5,0.0,17083582.0
TG,1_analytic_mean,9816967,5856,5856,1,1,2263574.0,0.0,9762047.0
TG,1_analytic_mean,10142352,8396,8396,1,1,2263573.5,0.0,13422815.0
TG,1_analytic_mean,9432510,2844,2844,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9498027,3351,3351,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,10218913,8999,8999,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9517843,3506,3506,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9901792,6523,6523,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,10298922,9628,9628,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9369525,2350,2350,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9417195,2726,2726,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9675915,4751,4751,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9088267,138,138,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9154241,655,655,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9700114,4942,4942,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,10144039,8410,8410,1,1,2251371.25,0.0,10982303.0
TG,1_analytic_mean,9757647,5396,5396,1,1,2233068.0,0.0,10372175.0
TG,1_analytic_mean,10179701,8689,8689,1,1,2233068.0,0.0,10372175.0
TG,1_analytic_mean,9936569,6789,6789,1,1,2233067.75,0.0,10982303.0
TG,1_analytic_mean,9481948,3223,3223,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,9583505,4021,4021,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,10033686,7544,7544,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,9464845,3093,3093,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,9800228,5727,5727,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,9459912,3055,3055,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,9922539,6683,6683,1,1,2233067.75,0.0,9151919.0
TG,1_analytic_mean,9204045,1048,1048,1,1,2226966.5,0.0,10982303.0
TG,1_analytic_mean,10152839,8480,8480,1,1,2226966.5,0.0,10372175.0
TG,1_analytic_mean,10314294,9747,9747,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9655892,4594,4594,1,1,2226966.5,0.0,10372175.0
TG,1_analytic_mean,9793219,5673,5673,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,10117310,8198,8198,1,1,2226966.5,0.0,10982303.0
TG,1_analytic_mean,10136239,8347,8347,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9489189,3279,3279,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9951940,6909,6909,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,10035598,7558,7558,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,10209039,8921,8921,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9082415,92,92,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9202504,1036,1036,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9520627,3527,3527,1,1,2226966.5,0.0,10982303.0
TG,1_analytic_mean,9622254,4327,4327,1,1,2226966.5,0.0,11592431.0
TG,1_analytic_mean,9563247,3860,3860,1,1,2226966.5,0.0,10982303.0
TG,1_analytic_mean,9962307,6990,6990,1,1,2226965.75,0.0,13422815.0
TG,1_analytic_mean,10228648,9076,9076,1,1,2226965.75,0.0,13422815.0
TG,1_analytic_mean,10245436,9209,9209,1,1,2214763.75,0.0,11592431.0
TG,1_analytic_mean,9760906,5421,5421,1,1,2208662.5,0.0,9151919.0
TG,1_analytic_mean,10213883,8960,8960,1,1,2196460.0,0.0,9151919.0
TG,1_analytic_mean,9511109,3451,3451,1,1,2190358.5,0.0,11592431.0
TG,1_analytic_mean,9324171,1993,1993,1,1,2184257.25,0.0,10982303.0
TG,1_analytic_mean,9570438,3918,3918,1,1,2184257.25,0.0,10372175.0
TG,1_analytic_mean,9542486,3698,3698,1,1,2184257.25,0.0,10372175.0
TG,1_analytic_mean,10190816,8778,8778,1,1,2184257.25,0.0,10982303.0
TG,1_analytic_mean,10143047,8402,8402,1,1,2184257.25,0.0,10372175.0
TG,1_analytic_mean,9599510,4150,4150,1,1,2184257.25,0.0,10982303.0
TG,1_analytic_mean,9743577,5287,5287,1,1,2184257.25,0.0,10982303.0
TG,1_analytic_mean,9940110,6816,6816,1,1,2178156.25,0.0,9762047.0
TG,1_analytic_mean,10194108,8803,8803,1,1,2165953.75,0.0,10372175.0
TG,1_analytic_mean,9253450,1436,1436,1,1,2165953.0,0.0,15863327.0
TG,1_analytic_mean,9174648,817,817,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,9378302,2420,2420,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,9642878,4492,4492,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,10092688,8003,8003,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,9439081,2892,2892,1,1,2159852.5,0.0,11592431.0
TG,1_analytic_mean,9949189,6887,6887,1,1,2159852.5,0.0,11592431.0
TG,1_analytic_mean,10105043,8101,8101,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,9633190,4414,4414,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,9765558,5457,5457,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,10101015,8069,8069,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,10209592,8926,8926,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,10217157,8985,8985,1,1,2159852.5,0.0,10982303.0
TG,1_analytic_mean,10197326,8830,8830,1,1,2159851.75,0.0,14032943.0
TG,1_analytic_mean,9326357,2010,2010,1,1,2141548.75,0.0,10372175.0
TG,1_analytic_mean,10016602,7410,7410,1,1,2141548.75,0.0,9762047.0
TG,1_analytic_mean,9601955,4170,4170,1,1,2141548.25,0.0,10982303.0
TG,1_analytic_mean,10201353,8862,8862,1,1,2141548.25,0.0,10982303.0
TG,1_analytic_mean,9126868,441,441,1,1,2117143.25,0.0,10372175.0
