geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Maritime,2_sample_mean,9256270,1457,1457,1,1,5661985.5,,15863327.0
Savanes,2_sample_mean,10316358,9763,9763,1,1,5661984.5,,32946910.0
Maritime,2_sample_mean,9250889,1414,1414,1,1,5661983.5,,35387420.0
Plateaux,2_sample_mean,9243428,1358,1358,1,1,5655883.5,,19524094.0
Maritime,2_sample_mean,10111986,8155,8155,1,1,5643682.5,,15253199.0
Maritime,2_sample_mean,9567852,3898,3898,1,1,5637581.0,,15253199.0
Savanes,2_sample_mean,9328298,2025,2025,1,1,5637580.0,,25015246.0
Plateaux,2_sample_mean,9853724,6144,6144,1,1,5631480.0,,12202559.0
Plateaux,2_sample_mean,9669411,4700,4700,1,1,5631479.5,,17083582.0
Savanes,2_sample_mean,9257430,1466,1466,1,1,5625378.0,,25015246.0
Savanes,2_sample_mean,10280153,9480,9480,1,1,5619277.0,,24405118.0
Plateaux,2_sample_mean,9353997,2226,2226,1,1,5619276.0,,21354478.0
Centrale,2_sample_mean,10181127,8701,8701,1,1,5613174.0,,23794990.0
Plateaux,2_sample_mean,9698303,4928,4928,1,1,5607074.0,,17693710.0
Centrale,2_sample_mean,9474399,3167,3167,1,1,5607073.0,,23794990.0
Centrale,2_sample_mean,9638272,4454,4454,1,1,5607073.0,,23794990.0
Centrale,2_sample_mean,9560449,3838,3838,1,1,5600972.0,,23794990.0
Centrale,2_sample_mean,9298470,1787,1787,1,1,5600972.0,,23794990.0
Centrale,2_sample_mean,9490394,3289,3289,1,1,5600972.0,,23794990.0
Centrale,2_sample_mean,9886718,6404,6404,1,1,5600972.0,,23794990.0
Plateaux,2_sample_mean,9430134,2826,2826,1,1,5600971.5,,22574734.0
Plateaux,2_sample_mean,9923046,6687,6687,1,1,5600971.5,,22574734.0
Plateaux,2_sample_mean,9298613,1788,1788,1,1,5588768.5,,23184862.0
Plateaux,2_sample_mean,9833463,5985,5985,1,1,5582668.5,,11592431.0
Centrale,2_sample_mean,9768804,5483,5483,1,1,5570466.5,,17693710.0
Maritime,2_sample_mean,9751335,5347,5347,1,1,5570466.5,,15253199.0
Centrale,2_sample_mean,9829953,5956,5956,1,1,5570466.5,,17693710.0
Plateaux,2_sample_mean,10050684,7677,7677,1,1,5570465.5,,18303838.0
Maritime,2_sample_mean,10210759,8936,8936,1,1,5570465.0,,31116526.0
Plateaux,2_sample_mean,10259797,9322,9322,1,1,5564365.5,,17083582.0
Plateaux,2_sample_mean,9208869,1085,1085,1,1,5558262.5,,20134222.0
Centrale,2_sample_mean,9853724,6144,6144,1,1,5552163.0,,20744350.0
Plateaux,2_sample_mean,10303939,9666,9666,1,1,5552163.0,,12202559.0
Savanes,2_sample_mean,10106651,8114,8114,1,1,5552163.0,,24405118.0
Centrale,2_sample_mean,9786962,5625,5625,1,1,5546061.0,,23184862.0
Plateaux,2_sample_mean,9520491,3526,3526,1,1,5539960.0,,10372175.0
Centrale,2_sample_mean,10128808,8287,8287,1,1,5533858.0,,25015246.0
Centrale,2_sample_mean,9277362,1624,1624,1,1,5533858.0,,23794990.0
Centrale,2_sample_mean,9086838,127,127,1,1,5533858.0,,23794990.0
Kara,2_sample_mean,9162459,719,719,1,1,5527758.0,,12812687.0
Kara,2_sample_mean,9380426,2436,2436,1,1,5527758.0,,12812687.0
Maritime,2_sample_mean,9157061,678,678,1,1,5527757.5,,15253199.0
Maritime,2_sample_mean,9650841,4553,4553,1,1,5527757.5,,15253199.0
Plateaux,2_sample_mean,10150637,8463,8463,1,1,5527757.5,,10982303.0
Maritime,2_sample_mean,9527812,3585,3585,1,1,5527757.5,,15253199.0
Maritime,2_sample_mean,9623662,4339,4339,1,1,5527757.5,,15253199.0
Plateaux,2_sample_mean,9816286,5851,5851,1,1,5521655.0,,22574734.0
Plateaux,2_sample_mean,9432865,2847,2847,1,1,5515556.0,,17083582.0
Maritime,2_sample_mean,9820179,5882,5882,1,1,5515555.5,,15253199.0
Plateaux,2_sample_mean,10059545,7748,7748,1,1,5515553.5,,21964606.0
Maritime,2_sample_mean,9960213,6973,6973,1,1,5515553.0,,30506398.0
Kara,2_sample_mean,9524078,3555,3555,1,1,5509454.0,,17693710.0
Kara,2_sample_mean,9567305,3894,3894,1,1,5509454.0,,17693710.0
Centrale,2_sample_mean,9073063,17,17,1,1,5503352.5,,17083582.0
Maritime,2_sample_mean,9080012,73,73,1,1,5503352.5,,15253199.0
Maritime,2_sample_mean,9742591,5279,5279,1,1,5503352.5,,15253199.0
Savanes,2_sample_mean,10158017,8520,8520,1,1,5503352.0,,23794990.0
Maritime,2_sample_mean,9650643,4552,4552,1,1,5503351.0,,30506398.0
Plateaux,2_sample_mean,9338970,2109,2109,1,1,5497251.0,,16473455.0
Plateaux,2_sample_mean,10118228,8204,8204,1,1,5497251.0,,16473455.0
Plateaux,2_sample_mean,9809230,5796,5796,1,1,5497251.0,,16473455.0
Plateaux,2_sample_mean,9995976,7249,7249,1,1,5497251.0,,16473455.0
Kara,2_sample_mean,9805220,5765,5765,1,1,5497250.5,,20134222.0
Maritime,2_sample_mean,9565976,3883,3883,1,1,5491150.0,,15253199.0
Maritime,2_sample_mean,9851226,6125,6125,1,1,5491148.0,,31726654.0
Savanes,2_sample_mean,9168943,771,771,1,1,5485049.0,,24405118.0
Plateaux,2_sample_mean,9819903,5879,5879,1,1,5485047.5,,20744350.0
Plateaux,2_sample_mean,10223708,9037,9037,1,1,5485047.0,,23794990.0
Maritime,2_sample_mean,9993910,7235,7235,1,1,5478948.0,,15253199.0
Maritime,2_sample_mean,9491922,3302,3302,1,1,5478948.0,,15253199.0
Centrale,2_sample_mean,9319528,1955,1955,1,1,5478946.0,,23184862.0
Centrale,2_sample_mean,9451543,2990,2990,1,1,5478946.0,,23184862.0
Kara,2_sample_mean,9978725,7119,7119,1,1,5472846.5,,14032943.0
Centrale,2_sample_mean,10279427,9475,9475,1,1,5466744.0,,23184862.0
Centrale,2_sample_mean,9225254,1214,1214,1,1,5466744.0,,24405118.0
Plateaux,2_sample_mean,10221925,9023,9023,1,1,5466744.0,,21964606.0
Centrale,2_sample_mean,10337858,9934,9934,1,1,5466744.0,,23184862.0
Maritime,2_sample_mean,9326142,2008,2008,1,1,5460643.5,,14643071.0
Maritime,2_sample_mean,10012220,7377,7377,1,1,5460643.5,,14643071.0
Maritime,2_sample_mean,10097137,8037,8037,1,1,5460643.5,,14643071.0
Kara,2_sample_mean,9431271,2834,2834,1,1,5448442.0,,12812687.0
Kara,2_sample_mean,9616780,4284,4284,1,1,5436239.0,,13422815.0
Kara,2_sample_mean,9688665,4853,4853,1,1,5436239.0,,17693710.0
Plateaux,2_sample_mean,10110051,8140,8140,1,1,5430137.0,,16473455.0
Plateaux,2_sample_mean,10160437,8539,8539,1,1,5430137.0,,16473455.0
