geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Lacs,1_analytic_mean,26861,6,1984,1,1,3230903.25,0,4458750.5
District Autonome de Yamoussoukro,1_analytic_mean,26861,6,1984,1,1,2834228,0,6611250.5
Lagunes,1_analytic_mean,26861,6,1984,1,1,5398163,0,11838751
District Autonome d'Abidjan,1_analytic_mean,26861,6,1984,1,1,3293018.25,0,10455001
Lagunes,1_analytic_mean,26875,6,1984,1,1,1355767.75,0,5996250.5
District Autonome d'Abidjan,1_analytic_mean,26875,6,1984,1,1,535050.19,0,4305000.5
Comoé,1_analytic_mean,26875,6,1984,1,1,621457.81,0,2921250.5
Gôh-Djiboua,1_analytic_mean,26888,7,1985,1,1,1434488,0,4305000.5
Lacs,1_analytic_mean,26888,7,1985,1,1,86715.05,0,307500.22
Lagunes,1_analytic_mean,26888,7,1985,1,1,20191078,0,35670248
District Autonome d'Abidjan,1_analytic_mean,26888,7,1985,1,1,10316326,0,30596430
Bas-Sassandra,1_analytic_mean,26892,7,1985,1,1,16605.01,0,153750.09
Lacs,1_analytic_mean,26920,7,1985,1,1,133762.59,0,922500.38
Lagunes,1_analytic_mean,26920,7,1985,1,1,9158890,0,22755078
Denguele,1_analytic_mean,26921,7,1985,1,1,66420.04,0,615000.38
Woroba,1_analytic_mean,26921,7,1985,1,1,116235.09,0,1076250.38
Sassandra-Marahoué,1_analytic_mean,26926,7,1985,1,1,505530.16,0,3690000.5
Valleé du Bandama,1_analytic_mean,26926,7,1985,1,1,16605.01,0,153750.09
Woroba,1_analytic_mean,26926,7,1985,1,1,33210.02,0,307500.22
Gôh-Djiboua,1_analytic_mean,26930,7,1985,1,1,334560.22,0,922500.38
Lacs,1_analytic_mean,26930,7,1985,1,1,16605.01,0,153750.09
Savanes,1_analytic_mean,26942,7,1985,1,1,3694613.25,0,10301251
Bas-Sassandra,1_analytic_mean,26942,7,1985,1,1,75450576,0,142070528
Gôh-Djiboua,1_analytic_mean,26942,7,1985,1,1,28073358,0,68727008
Montagnes,1_analytic_mean,26942,7,1985,1,1,50945948,0,137150208
Sassandra-Marahoué,1_analytic_mean,26942,7,1985,1,1,64087420,0,174206368
Cascades,1_analytic_mean,26942,7,1985,1,1,253072.66,0,461250.34
Grand Gedeh,1_analytic_mean,26942,7,1985,1,1,194032.61,0,461250.34
Lacs,1_analytic_mean,26942,7,1985,1,1,23509070,0,56734272
District Autonome de Yamoussoukro,1_analytic_mean,26942,7,1985,1,1,6098956,0,15682501
Lagunes,1_analytic_mean,26942,7,1985,1,1,53908852,0,84564288
District Autonome d'Abidjan,1_analytic_mean,26942,7,1985,1,1,66929392,0,197885408
Comoé,1_analytic_mean,26942,7,1985,1,1,53256680,0,106551968
Zanzan,1_analytic_mean,26942,7,1985,1,1,6324045.5,0,14913751
River Ghee,1_analytic_mean,26942,7,1985,1,1,196492.61,0,461250.34
Valleé du Bandama,1_analytic_mean,26942,7,1985,1,1,5618333,0,19218782
Sud-ouest,1_analytic_mean,26942,7,1985,1,1,34132.52,0,153750.09
Woroba,1_analytic_mean,26942,7,1985,1,1,4334828,0,13991251
N'Zerekore,1_analytic_mean,26942,7,1985,1,1,16605.01,0,153750.09
Nimba,1_analytic_mean,26942,7,1985,1,1,1789650.5,0,3382500.5
Montagnes,1_analytic_mean,26958,7,1985,1,1,265680.09,0,2460000.5
Bas-Sassandra,1_analytic_mean,27004,8,1986,1,1,516907.78,0,2460000.5
Lacs,1_analytic_mean,27005,8,1986,1,1,34132.52,0,153750.09
Zanzan,1_analytic_mean,27005,8,1986,1,1,103320.06,0,461250.34
Woroba,1_analytic_mean,27014,8,1986,1,1,139605.08,0,615000.38
Bas-Sassandra,1_analytic_mean,27024,8,1986,1,1,2195857.75,0,12146251
Gôh-Djiboua,1_analytic_mean,27024,8,1986,1,1,67342.54,0,307500.22
Montagnes,1_analytic_mean,27024,8,1986,1,1,603057,0,2613750.5
Woroba,1_analytic_mean,27024,8,1986,1,1,1618988.12,0,4612500.5
Lacs,1_analytic_mean,27026,8,1986,1,1,13203945,0,41205320
District Autonome de Yamoussoukro,1_analytic_mean,27026,8,1986,1,1,1095315.38,0,4766250.5
Lagunes,1_analytic_mean,27026,8,1986,1,1,3603285.25,0,11992501
Valleé du Bandama,1_analytic_mean,27026,8,1986,1,1,4276685.5,0,24446350
Woroba,1_analytic_mean,27031,8,1986,1,1,16605.01,0,153750.09
Savanes,1_analytic_mean,27058,8,1986,1,1,328410.19,0,1998750.38
Montagnes,1_analytic_mean,27115,9,1987,1,1,271215.12,0,1383750.38
Lagunes,1_analytic_mean,27123,9,1987,1,1,4324373.5,0,7533750.5
Comoé,1_analytic_mean,27123,9,1987,1,1,5909535.5,0,16912502
Savanes,1_analytic_mean,27204,9,1987,1,1,16605.01,0,153750.09
Savanes,1_analytic_mean,27218,9,1987,1,1,2285955.75,0,4920000.5
Cascades,1_analytic_mean,27218,9,1987,1,1,233392.66,0,461250.34
Zanzan,1_analytic_mean,27218,9,1987,1,1,1751827.62,0,7841250.5
Sud-ouest,1_analytic_mean,27218,9,1987,1,1,34132.52,0,153750.09
Bas-Sassandra,1_analytic_mean,27262,9,1987,1,1,2693085.75,0,5842500.5
Montagnes,1_analytic_mean,27262,9,1987,1,1,16605.01,0,153750.09
River Ghee,1_analytic_mean,27262,9,1987,1,1,258300.16,0,307500.22
Maryland,1_analytic_mean,27262,9,1987,1,1,2933858.25,0,3997500.5
0,1_analytic_mean,27262,9,1987,1,1,89790.05,0,153750.09
Denguele,1_analytic_mean,27277,9,1987,1,1,16605.01,0,153750.09
Bas-Sassandra,1_analytic_mean,27279,9,1987,1,1,2332080.75,0,7533750.5
River Ghee,1_analytic_mean,27279,9,1987,1,1,50737.53,0,307500.22
Lagunes,1_analytic_mean,27303,10,1988,1,1,1196175.25,0,5688750.5
Comoé,1_analytic_mean,27303,10,1988,1,1,841320.19,0,4766250.5
Lacs,1_analytic_mean,27310,10,1988,1,1,133762.59,0,922500.38
Valleé du Bandama,1_analytic_mean,27310,10,1988,1,1,33210.02,0,307500.22
Montagnes,1_analytic_mean,27327,10,1988,1,1,309037.66,0,1230000.38
Valleé du Bandama,1_analytic_mean,27328,10,1988,1,1,140220.08,0,307500.22
Woroba,1_analytic_mean,27328,10,1988,1,1,120847.57,0,461250.34
Savanes,1_analytic_mean,27349,10,1988,1,1,350550.12,0,2921250.5
Sikasso,1_analytic_mean,27349,10,1988,1,1,99630.07,0,922500.38
Denguele,1_analytic_mean,27349,10,1988,1,1,33210.02,0,307500.22
Savanes,1_analytic_mean,27376,10,1988,1,1,4424003,0,20756302
Gôh-Djiboua,1_analytic_mean,27376,10,1988,1,1,11716300,0,32595206
Sassandra-Marahoué,1_analytic_mean,27376,10,1988,1,1,5126948,0,11838751
Cascades,1_analytic_mean,27376,10,1988,1,1,1064565.38,0,2460000.5
Sikasso,1_analytic_mean,27376,10,1988,1,1,16605.01,0,153750.09
Lacs,1_analytic_mean,27376,10,1988,1,1,3672473.5,0,4920000.5
Denguele,1_analytic_mean,27376,10,1988,1,1,83947.55,0,461250.34
District Autonome de Yamoussoukro,1_analytic_mean,27376,10,1988,1,1,5081438,0,15682501
Lagunes,1_analytic_mean,27376,10,1988,1,1,320107.59,0,2152500.5
Zanzan,1_analytic_mean,27376,10,1988,1,1,1708956.25,0,6765000.5
Woroba,1_analytic_mean,27376,10,1988,1,1,2673097.75,0,9686251
Montagnes,1_analytic_mean,27397,10,1988,1,1,622072.81,0,2306250.5
Nimba,1_analytic_mean,27397,10,1988,1,1,70110.04,0,153750.09
Bas-Sassandra,1_analytic_mean,27403,10,1988,1,1,1209090.62,0,3075000.5
Montagnes,1_analytic_mean,27403,10,1988,1,1,33210.02,0,307500.22
Comoé,1_analytic_mean,27437,11,1989,1,1,1822552.88,0,6918750.5
Comoé,1_analytic_mean,27445,11,1989,1,1,808110.19,0,4458750.5
Zanzan,1_analytic_mean,27445,11,1989,1,1,66420.04,0,615000.38
Savanes,1_analytic_mean,27497,11,1989,1,1,10706237,0,46279136
Bas-Sassandra,1_analytic_mean,27497,11,1989,1,1,56373928,0,98556448
Gôh-Djiboua,1_analytic_mean,27497,11,1989,1,1,50737.53,0,153750.09
Montagnes,1_analytic_mean,27497,11,1989,1,1,41292136,0,122081728
Sassandra-Marahoué,1_analytic_mean,27497,11,1989,1,1,22015524,0,65498136
Cascades,1_analytic_mean,27497,11,1989,1,1,1355153.12,0,2767500.5
Sikasso,1_analytic_mean,27497,11,1989,1,1,16605.01,0,153750.09
Grand Gedeh,1_analytic_mean,27497,11,1989,1,1,89790.05,0,153750.09
Lacs,1_analytic_mean,27497,11,1989,1,1,4117425.5,0,8763751
Lagunes,1_analytic_mean,27497,11,1989,1,1,7072501,0,11223751
Comoé,1_analytic_mean,27497,11,1989,1,1,15137930,0,33978976
Zanzan,1_analytic_mean,27497,11,1989,1,1,4233353,0,8610001
Western North,1_analytic_mean,27497,11,1989,1,1,67342.54,0,461250.34
River Ghee,1_analytic_mean,27497,11,1989,1,1,218940.12,0,307500.22
Valleé du Bandama,1_analytic_mean,27497,11,1989,1,1,1623907.88,0,6303750.5
Woroba,1_analytic_mean,27497,11,1989,1,1,4294478,0,12761251
N'Zerekore,1_analytic_mean,27497,11,1989,1,1,647902.81,0,1076250.38
Lacs,1_analytic_mean,27589,12,1990,1,1,33210.02,0,307500.22
Lagunes,1_analytic_mean,27589,12,1990,1,1,16605.01,0,153750.09
Montagnes,1_analytic_mean,27592,12,1990,1,1,410512.69,0,1537500.38
Montagnes,1_analytic_mean,27604,12,1990,1,1,116235.09,0,1076250.38
Savanes,1_analytic_mean,27647,12,1990,1,1,106395.06,0,307500.22
Bas-Sassandra,1_analytic_mean,27647,12,1990,1,1,21924220,0,60116816
Montagnes,1_analytic_mean,27647,12,1990,1,1,7576493,0,24446350
Sassandra-Marahoué,1_analytic_mean,27647,12,1990,1,1,34446872,0,74569888
Lacs,1_analytic_mean,27647,12,1990,1,1,83947.55,0,461250.34
Denguele,1_analytic_mean,27647,12,1990,1,1,16605.01,0,153750.09
District Autonome de Yamoussoukro,1_analytic_mean,27647,12,1990,1,1,1503983.25,0,2460000.5
Valleé du Bandama,1_analytic_mean,27647,12,1990,1,1,238312.64,0,307500.22
