geogname1,sidx,return_period,loss
Keta Lagoon (Volta Region),Sample1,50,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,75,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,100,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,150,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,200,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,250,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,300,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,400,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,500,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,600,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,700,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,800,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,900,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,1000,6.5520000000000005
Keta Lagoon (Volta Region),Sample1,1500,6.5520000000000005
Lake Volta and Volta River,Sample1,2,16.380001
Lake Volta and Volta River,Sample1,5,1648.421265
Lake Volta and Volta River,Sample1,10,3167.885986
Lake Volta and Volta River,Sample1,20,4229.30127
Lake Volta and Volta River,Sample1,25,4429.728027
Lake Volta and Volta River,Sample1,50,4937.508789
Lake Volta and Volta River,Sample1,75,5536.807617
Lake Volta and Volta River,Sample1,100,5802.3603520000015
Lake Volta and Volta River,Sample1,150,6650.487305
Lake Volta and Volta River,Sample1,200,7125.279297
Lake Volta and Volta River,Sample1,250,7308.711426000002
Lake Volta and Volta River,Sample1,300,7399.344238
Lake Volta and Volta River,Sample1,400,7688.750977
Lake Volta and Volta River,Sample1,500,7796.828125
Lake Volta and Volta River,Sample1,600,7944.910645
Lake Volta and Volta River,Sample1,700,8374.399414
Lake Volta and Volta River,Sample1,800,8628.167969
Lake Volta and Volta River,Sample1,900,8714.260742
Lake Volta and Volta River,Sample1,1000,8766.542969
Lake Volta and Volta River,Sample1,1500,9787.662109
Maritime,Sample1,2,0.0
Maritime,Sample1,5,0.0
Maritime,Sample1,10,0.0
Maritime,Sample1,20,0.0
Maritime,Sample1,25,0.0
Maritime,Sample1,50,0.0
Maritime,Sample1,75,0.0
Maritime,Sample1,100,0.0
Maritime,Sample1,150,3.2760000000000002
Maritime,Sample1,200,3.2760000000000002
Maritime,Sample1,250,3.2760000000000002
Maritime,Sample1,300,3.2760000000000002
Maritime,Sample1,400,9.828
Maritime,Sample1,500,9.828
Maritime,Sample1,600,9.828
Maritime,Sample1,700,9.828
Maritime,Sample1,800,9.828
Maritime,Sample1,900,9.828
Maritime,Sample1,1000,9.828
Maritime,Sample1,1500,91.727997
North East,Sample1,2,0.0
North East,Sample1,5,1015.560181
North East,Sample1,10,4412.746582
North East,Sample1,20,7295.583008
North East,Sample1,25,8419.271484
North East,Sample1,50,12075.901367
North East,Sample1,75,15805.052734
North East,Sample1,100,17441.542969
North East,Sample1,150,19412.59375
North East,Sample1,200,20331.730469
North East,Sample1,250,21162.875
North East,Sample1,300,21491.601562
North East,Sample1,400,22705.1875
North East,Sample1,500,23200.40625
North East,Sample1,600,23458.382812
North East,Sample1,700,23618.291016
North East,Sample1,800,23686.960938
North East,Sample1,900,23704.726562
North East,Sample1,1000,24093.667969
North East,Sample1,1500,24538.658203
Northern,Sample1,2,13.104000000000001
Northern,Sample1,5,3524.968018
Northern,Sample1,10,8300.614258
Northern,Sample1,20,15699.716797
Northern,Sample1,25,18319.763672
Northern,Sample1,50,24719.138672
Northern,Sample1,75,28580.869141000006
Northern,Sample1,100,31755.019531
Northern,Sample1,150,35704.433594
Northern,Sample1,200,39074.476562
Northern,Sample1,250,40354.011719
Northern,Sample1,300,42695.28125
Northern,Sample1,400,45710.210938
Northern,Sample1,500,48445.03125
Northern,Sample1,600,51213.46875
Northern,Sample1,700,52992.15625
Northern,Sample1,800,53630.855469
Northern,Sample1,900,54718.71875
Northern,Sample1,1000,55253.703125
Northern,Sample1,1500,58302.226562
Oti,Sample1,2,0.0
Oti,Sample1,5,737.100098
Oti,Sample1,10,2339.062988
Oti,Sample1,20,3885.331299
Oti,Sample1,25,4209.6557619999985
Oti,Sample1,50,5552.807129
Oti,Sample1,75,6519.228027
Oti,Sample1,100,7272.700684
Oti,Sample1,150,8115.609863
Oti,Sample1,200,8809.141602
Oti,Sample1,250,9185.880859
Oti,Sample1,300,9872.665039
Oti,Sample1,400,10748.536133
Oti,Sample1,500,11262.866211
Oti,Sample1,600,12015.294922
Oti,Sample1,700,12311.84082
Oti,Sample1,800,12896.010742
Oti,Sample1,900,13822.200195
Oti,Sample1,1000,15000.78418
Oti,Sample1,1500,17815.863281
Plateaux,Sample1,2,0.0
Plateaux,Sample1,5,0.0
Plateaux,Sample1,10,6.5520000000000005
Plateaux,Sample1,20,160.524002
Plateaux,Sample1,25,160.524002
Plateaux,Sample1,50,173.628006
Plateaux,Sample1,75,173.628006
Plateaux,Sample1,100,186.73201
Plateaux,Sample1,150,278.46002200000004
Plateaux,Sample1,200,281.736023
Plateaux,Sample1,250,285.012024
Plateaux,Sample1,300,304.667999
Plateaux,Sample1,400,311.220001
Plateaux,Sample1,500,317.771973
Plateaux,Sample1,600,330.876007
Plateaux,Sample1,700,330.876007
Plateaux,Sample1,800,335.724487
Plateaux,Sample1,900,340.310883
Plateaux,Sample1,1000,340.70401
Plateaux,Sample1,1500,340.70401
Savanes,Sample1,2,0.0
Savanes,Sample1,5,0.0
Savanes,Sample1,10,88.452003
Savanes,Sample1,20,242.423996
Savanes,Sample1,25,242.423996
Savanes,Sample1,50,324.324036
Savanes,Sample1,75,330.876038
Savanes,Sample1,100,330.876038
Savanes,Sample1,150,334.152039
Savanes,Sample1,200,334.152039
Savanes,Sample1,250,340.704041
Savanes,Sample1,300,347.256042
Savanes,Sample1,400,370.188019
Savanes,Sample1,500,370.188019
Savanes,Sample1,600,370.188019
Savanes,Sample1,700,370.188019
Savanes,Sample1,800,370.188019
Savanes,Sample1,900,370.188019
Savanes,Sample1,1000,370.188019
Savanes,Sample1,1500,370.188019
Savannah,Sample1,2,13.104000000000001
Savannah,Sample1,5,2850.117188
Savannah,Sample1,10,9513.459961
Savannah,Sample1,20,19485.583984
Savannah,Sample1,25,19960.599609
Savannah,Sample1,50,24016.263672
Savannah,Sample1,75,25726.365234
Savannah,Sample1,100,26299.642578
Savannah,Sample1,150,27009.4375
Savannah,Sample1,200,27288.988281
Savannah,Sample1,250,27574.103516000006
Savannah,Sample1,300,27775.775391000006
Savannah,Sample1,400,28307.832031
Savannah,Sample1,500,28425.861327999995
Savannah,Sample1,600,28484.085938
Savannah,Sample1,700,28785.835938
Savannah,Sample1,800,28910.091797000005
Savannah,Sample1,900,29010.208984
Savannah,Sample1,1000,29064.595702999995
Savannah,Sample1,1500,29431.951172000005
Sud Comoe,Sample1,2,0.0
Sud Comoe,Sample1,5,0.0
Sud Comoe,Sample1,10,0.0
Sud Comoe,Sample1,20,2633.90332
Sud Comoe,Sample1,25,2679.767334
Sud Comoe,Sample1,50,2689.595215
Sud Comoe,Sample1,75,2696.147217
Sud Comoe,Sample1,100,2696.147217
Sud Comoe,Sample1,150,2696.147217
